scenario,category,noise_type,noise_probability,attack_type,mismatch_rate,security_score,adaptive_threshold,bell_anomaly_score,attack_detected
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.002013,0.26,0.006711,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.004505,0.26,0.015018,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.003525,0.26,0.011751,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.000715,0.26,0.002383,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.004885,0.26,0.016284,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.004902,0.26,0.016339,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.008126,0.26,0.027087,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.003141,0.26,0.01047,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.002786,0.26,0.009286,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.003599,0.26,0.011995,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.004321,0.26,0.014405,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.002617,0.26,0.008724,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.005374,0.26,0.017914,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.002555,0.26,0.008517,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.002588,0.26,0.008627,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.004456,0.26,0.014854,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.004806,0.26,0.01602,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.00418,0.26,0.013935,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.005179,0.26,0.017265,False
bit_flip_0.0,normal,bit_flip,0.0,none,0.0,0.005189,0.26,0.017295,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.155273,0.113697,0.32,0.016685,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.076172,0.057462,0.290469,0.013804,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.117188,0.085614,0.306875,0.01194,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.02832,0.021083,0.271328,0.004196,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.073242,0.056103,0.289297,0.016111,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.072266,0.052217,0.288906,0.005435,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.026367,0.024804,0.270547,0.021156,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.089844,0.066212,0.295938,0.011071,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.12793,0.092909,0.311172,0.011193,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.087891,0.066533,0.295156,0.016697,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.114258,0.085531,0.305703,0.018503,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.130859,0.094378,0.312344,0.009255,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.134766,0.101747,0.313906,0.024704,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.151367,0.108724,0.32,0.009225,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.013672,0.015658,0.265469,0.020292,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.068359,0.05065,0.287344,0.009328,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.032227,0.027973,0.272891,0.018047,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.025391,0.024595,0.270156,0.022738,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.081055,0.060953,0.292422,0.014047,False
bit_flip_0.05,normal,bit_flip,0.05,none,0.157227,0.115728,0.32,0.018897,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.152344,0.110072,0.32,0.011436,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.051758,0.036945,0.280703,0.002383,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.243164,0.17783,0.32,0.025384,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.186523,0.132189,0.32,0.005411,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.257812,0.184867,0.32,0.014663,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.251953,0.181382,0.32,0.016718,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.056641,0.041658,0.282656,0.006698,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.259766,0.186756,0.32,0.0164,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.271484,0.193846,0.32,0.01269,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.253906,0.179555,0.32,0.00607,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.253906,0.179947,0.32,0.007376,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.05957,0.043898,0.283828,0.00733,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.131836,0.097998,0.312734,0.019042,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.144531,0.107026,0.317812,0.019513,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.267578,0.193749,0.32,0.021482,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.1875,0.137835,0.32,0.02195,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.251953,0.177989,0.32,0.005405,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.200195,0.14636,0.32,0.020745,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.056641,0.042447,0.282656,0.009328,False
bit_flip_0.1,normal,bit_flip,0.1,none,0.049805,0.040609,0.279922,0.019153,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.208984,0.149278,0.32,0.009963,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.28125,0.202939,0.32,0.020213,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.208984,0.149678,0.32,0.011299,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.203125,0.144201,0.32,0.006711,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.188477,0.139488,0.32,0.025179,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.077148,0.058695,0.290859,0.015638,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.077148,0.056786,0.290859,0.009274,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.194336,0.139999,0.32,0.013212,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.328125,0.235911,0.32,0.020745,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.338867,0.240932,0.32,0.012416,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.268555,0.190562,0.32,0.008578,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.087891,0.065719,0.295156,0.013983,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.200195,0.143183,0.32,0.010155,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.076172,0.057078,0.290469,0.012526,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.066406,0.051699,0.286562,0.017383,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.200195,0.145836,0.32,0.018998,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.266602,0.192035,0.32,0.018047,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.329102,0.233742,0.32,0.011235,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.068359,0.053175,0.287344,0.017746,False
bit_flip_0.15,normal,bit_flip,0.15,none,0.358398,0.257609,0.32,0.022433,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.348633,0.245851,0.32,0.006027,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.40918,0.291935,0.32,0.018362,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.308594,0.218219,0.32,0.007345,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.095703,0.078049,0.298281,0.036857,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.317383,0.225334,0.32,0.010552,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.387695,0.275891,0.32,0.015015,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.330078,0.233445,0.32,0.007968,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.251953,0.18056,0.32,0.013977,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.355469,0.251386,0.32,0.008526,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.375,0.267268,0.32,0.015893,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.094727,0.071122,0.297891,0.016044,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.428711,0.302477,0.32,0.007931,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.426758,0.305017,0.32,0.020956,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.376953,0.268402,0.32,0.015116,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.322266,0.229551,0.32,0.013215,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.354492,0.255965,0.32,0.026069,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.104492,0.075707,0.301797,0.008542,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.09082,0.068395,0.296328,0.016069,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.352539,0.251969,0.32,0.017307,False
bit_flip_0.2,normal,bit_flip,0.2,none,0.112305,0.080627,0.304922,0.006711,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.005393,0.26,0.017978,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.00458,0.26,0.015267,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.005876,0.26,0.019585,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.003846,0.26,0.01282,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.002956,0.26,0.009854,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.003372,0.26,0.011241,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.002946,0.26,0.00982,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.005419,0.26,0.018063,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.002788,0.26,0.009295,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.005118,0.26,0.017059,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.002974,0.26,0.009914,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.003565,0.26,0.011885,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.003379,0.26,0.011263,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.004163,0.26,0.013877,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.002011,0.26,0.006705,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.00488,0.26,0.016266,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.003225,0.26,0.01075,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.007032,0.26,0.023439,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.005287,0.26,0.017622,False
phase_flip_0.0,normal,phase_flip,0.0,none,0.0,0.003775,0.26,0.012584,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.097656,0.074497,0.299062,0.020458,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.105469,0.076028,0.302188,0.007333,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.107422,0.079537,0.302969,0.014472,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.0,0.000895,0.26,0.002985,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.109375,0.078769,0.30375,0.007354,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.114258,0.086935,0.305703,0.023182,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.125977,0.09395,0.310391,0.019219,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.117188,0.08637,0.306875,0.01446,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.116211,0.086848,0.306484,0.018333,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.105469,0.07799,0.302188,0.013874,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.130859,0.095211,0.312344,0.012031,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.115234,0.083482,0.306094,0.009395,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.125,0.092087,0.31,0.015289,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.121094,0.087533,0.308438,0.009225,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.12207,0.092795,0.308828,0.024487,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.114258,0.08625,0.305703,0.020899,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.112305,0.082196,0.304922,0.01194,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.0,0.007307,0.26,0.024356,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.118164,0.085695,0.307266,0.009933,False
phase_flip_0.05,normal,phase_flip,0.05,none,0.0,0.003569,0.26,0.011897,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.0,0.001436,0.26,0.004788,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.188477,0.135546,0.32,0.01204,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.199219,0.147936,0.32,0.028277,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.0,0.004902,0.26,0.016339,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.0,0.005149,0.26,0.017162,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.199219,0.14636,0.32,0.023022,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.0,0.003379,0.26,0.011263,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.0,0.002399,0.26,0.007998,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.0,0.003793,0.26,0.012644,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.214844,0.155896,0.32,0.018352,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.217773,0.155249,0.32,0.009359,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.0,0.003157,0.26,0.010525,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.220703,0.157278,0.32,0.009286,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.21875,0.157548,0.32,0.014745,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.0,0.002939,0.26,0.009796,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.228516,0.161227,0.32,0.004221,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.216797,0.152836,0.32,0.003595,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.220703,0.160777,0.32,0.02095,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.206055,0.148476,0.32,0.014126,False
phase_flip_0.1,normal,phase_flip,0.1,none,0.0,0.006123,0.26,0.020409,False
phase_flip_0.15,normal,phase_flip,0.15,none,0.291992,0.20839,0.32,0.013318,False
phase_flip_0.15,normal,phase_flip,0.15,none,0.288086,0.204451,0.32,0.009304,False
phase_flip_0.15,normal,phase_flip,0.15,none,0.268555,0.190198,0.32,0.007364,False
phase_flip_0.15,normal,phase_flip,0.15,none,0.270508,0.193784,0.32,0.01476,False
phase_flip_0.15,normal,phase_flip,0.15,none,0.0,0.007265,0.26,0.024218,False
phase_flip_0.15,normal,phase_flip,0.15,none,0.0,0.004888,0.26,0.016294,False
phase_flip_0.15,normal,phase_flip,0.15,none,0.0,0.006722,0.26,0.022406,False
phase_flip_0.15,normal,phase_flip,0.15,none,0.0,0.005876,0.26,0.019585,False
phase_flip_0.15,normal,phase_flip,0.15,none,0.291992,0.211755,0.32,0.024535,False
phase_flip_0.15,normal,phase_flip,0.15,none,0.293945,0.208152,0.32,0.007968,False
